date,station,site,max_depth_m,min_depth_m,depth_categories,assoc_habitats,rugosity,habitat_notes
2010-03-29,ambo2,ambo_s,13,5,high_range_mid-depth,seagrass,1,"Steep slope on sand about 100m from shore of seagrass, some mangrove and sand flat. Fairly turbid, rubble, high algal cover, soft corals, forams, ascidians and other benthic invertebrates."
2010-03-29,ambo3,ambo_s,15,3,high_range_mid-depth,seagrass,1,"Steep slope on sand about 100m from shore of seagrass, some mangrove and sand flat. Fairly turbid, rubble, high algal cover, soft corals, forams, ascidians and other benthic invertebrates."
2010-03-30,ambo4,ambo_outer,19,10,deep,coral,1,"Gentle slope, turbid conditions, with very low coral cover. Occasional coral outcrops, otherwise very low relief, bare rock, except at start of dive."
2010-03-30,ambo5,ambo_outer,18,11,deep,coral,1,"Fringing rocky algal reef sloping gently with high cover of algae, sponges and soft corals; some corals. "
2010-03-31,loky6,loky_s,20,6,high_range_deep,mangrove,4,Complex high relief steep slope (70- 80 degrees) with channels; many encrusting corals (e.g. Montipora) and large sea fans; shelves up onto sandy bed with scattered coral heads. Relatively high coral cover. Lots of fishing line and old net.
2010-04-01,loky8,loky_nw,16,9,deep,rock,2,"Rocky reef fringing the raised coral island off the NW shore of the bay. Silty, with many soft corals and sponges including the large Zestospongia; strong current."
2010-04-01,loky9,loky_nw,19,7,high_range_deep,rock,2,"Rocky reef fringing the raised coral island off the NW shore of the bay further North than Loky 8. Rubble, bare rock with algae, notably red algae (probably Peyssonnelia), many soft corals, but with some high relief coral bommies; very silty."
2010-04-04,vohe13,vohem,17,9,deep,coral,1,"Exposed reef with well developed spur and groove structure, ending at 17m, on silty sandy bed with very few isolated hard and soft corals heads. Large Acropora robusta  corals common. Low relief, many encrusting corals, algae and soft corals."
2010-04-05,vohe15,vohem,19,9,deep,coral,1,same reef edge as Vohemar 13 just slightly further south. 
2010-04-09,loky6b,loky_s,14,8,mid-depth,coral,4,Similar to Loky 6.
2010-04-11,anka20,ankao_nne,8,2,high_range_mid-depth,sand,2,"Fringing reef on north side of Ankao Island, towards the entrance to Ankao Bay. Clear water, huge stands of Galaxea onto sand at around 6m. Ridge of corals and large expanses of sand. First reefs without a heavy silt load!"
2010-04-11,anka21,ankao_s,8,3,high_range_mid-depth,coral,2,"Back reef lagoon type habitat but with strong currents due to being the main S-N channel between two islands. Clear water, large scattered coral bommies with reasonable cover, dominated by Pocillopora"
2010-04-12,anka22,ankao_ne,11,6,high_range_mid-depth,coral,3,"Outer reef edge off fringing reef from Ankao Island; a little turbid. Densely scattered large coral bommies with reasonably complex topography, low fish diversity but some groups abundant"
2010-04-12,anka23,ankao_nne,9,4,high_range_mid-depth,coral,2,The most developed and diverse coral community seen on the survey. Coral cover high also. In the shallows towards the reef flat (<7m) soft corals dominated. In places a red filamentous algae was very common – uncertain if this might be related to the large seaweed farm on Ankao Island.
2010-04-13,anka21b,ankao_s,6,1,shallow,sand,2,"Back reef lagoon type habitat but with strong currents due to being the main S-N channel between two islands. Clear water, large scattered coral bommies with reasonable cover, dominated by Pocillopora. "
2010-06-21,metund1,metundo_flat_nw,4,2,shallow,coral,1,"Leeward reef flat, 2-5m depth. Healthy corals scattered across sandy flat with expanses of rubble in places. Little bleaching observed; fairly high cover of old dead corals. 1 COT."
2010-06-21,metund2,metundo_flat_nw,5,2,shallow,coral,1,"Leeward reef flat, 2-5m depth. Healthy corals scattered across sandy flat with expanses of rubble in places. Little bleaching observed; fairly high cover of old dead corals. 1 COT."
2010-06-22,metund3,makunga_n,25,11,deep,coral,1,"Steep 90 degree wall that drops to around 500m on the chart, from a reef top  of 12-15m. Wall with many sea fans and Tubastrea coral (see photo). Reef top a shelf at 11-16m depth with many soft corals, and small plate Acropora and other hard corals. Acropora and other hard corals."
2010-06-23,metund4,makunga_n,27,13,deep,coral,1,"Steep 90 degree wall that drops to around 500m on the chart, from a reef top  of 12-15m. Wall with many sea fans and Tubastrea coral (see photo). Reef top a shelf at 11-16m depth with many soft corals, and small plate Acropora and other hard corals. Acropora and other hard corals."
2010-06-23,metund5,baixo_pinguimne,10,8,mid-depth,coral,2,"exposed fringing reef to Metundo island,extensive flat plateau at 8-10m. this is not Baixo Pinguim but only 1 tn so added to BP site as tn4"
2010-06-24,metund6,baixo_pinguimne,19,6,high_range_deep,coral,2,"Extensive deep reef at 6-10m, S facing wall to shelf at 17m."
2011-03-22,kifin32,kifinge,15,1.6,high_range_mid-depth,coral,3,"Outer reef slope of around 45 degrees to sand bottom at 13-16m, with fairly complex topography, scattered large massive corals, many soft corals and about 30% live coral cover. Above the slope a reef flat at around 5m depth largely bare of hard corals but many soft corals."
2011-03-22,kifin_n,kifinge,16.5,5,high_range_deep,coral,3,"Outer reef slope of around 45 degrees to sand bottom at 13-16m, with fairly complex topography, scattered large massive corals, many soft corals and about 30% live coral cover. Above the slope a reef flat at around 5m depth largely bare of hard corals but many soft corals."
2011-03-23,nyamn07,nyamalile,14,3,high_range_mid-depth,coral,3,"Turbid, high coral relief with some massive Pavona dropping onto sandy channels. Acropora stag horn coral very common in shallows."
2011-03-23,nyams34,nyamalile,4,2,shallow,coral,2,"Shallow extensive flat reef at 2-5m with very high live coral cover – largely Acropora branching corals, but also large Pavona. Impressive live coral cover – at least 80%. And very clear, about 18m visibility."
2011-03-24,mange1,mange,5,0.5,shallow,coral,1,"Shallow fringing reef on eastern more leeward side of sand cay, from 0.5 to 5m depth to sand bottom. Much dead coral and sea urchins common (Diadema setosum and Echinothrix diadema). Dead coral is Acropora plate and stag horn; likely bleaching damage and then collapsed. Live Acropora stag horn also common."
2011-03-24,mange2,mange,10,6,shallow,coral,1,"Southern exposure facing the strong SE seas. Submerged reef platform at 3-5 m of bare rock with a few scattered large coral formations, much algae especially reds. Reef then slopes at 45 degrees to sand bottom at 9-10m. Slope typified by large stands of Goniopora, some dead some alive. Few, small isolated patches of bleached corals. Moderate rugosity and coral diversity and spur formation. "
2011-03-25,kitut1,kitutia,14,3,high_range_mid-depth,coral,1,"Wide reef slope from small sand and coral cay exposed at low tide. Slopes gently at 20-30 degrees to sand at 13-15m. Low relief reef, much bare rock, dead coral and rubble; occasional live coral heads."
2011-03-25,kitut2,kitutia,12,10,mid-depth,coral,1,"Narrow fringing reef off sand cay dropping to sand at around 10m. Much of reef dead and broken coral pieces or rubble – looks like Acropora plates and branching collapsed after death ie from bleaching. Some coral recruits of 5-10 years old -  Pocillopora, Acropora. Some large areas of live Acropora branching in 1-2 m, and some live Goniopora banks. Noticeably very little algae."
2011-03-26,dindi8,dindini,16,6,high_range_mid-depth,coral,1,"Reef plateau of rock, sand and algae at 5m, then drops at 90 deg to around 22m sand bottom. Wall bare with turf algae and reds, very few corals. Some coral heads on plateau.  wall is in the mlango; "
2011-03-26,dindi9,dindini,17,4,high_range_deep,coral,2,"Similar reef profile to Dindini 8 but more varied structure and live hard corals, also soft corals, with wall sloping at 70-80 degrees and bottom with mixed corals on sand.Very cold water cam flooding in from deep just before high tide. Apparently a cold upwelling from open sea (source: Abdullah the skipper)."
2011-03-27,utumb13,utumbi,13,5,high_range_mid-depth,coral,2,"Inner lagoonal reef off Chole Island within the protected Chole Bay.  Brilliantly clear water, high (6-10m) spurs of coral growing off a sand bottom at around 13-15m. Channels with rubble. Occasional small bleached Pocillopora. Millepora common in shallows."
2011-03-27,utumb12,utumbi,16,12,deep,coral,2,As for Utumbi 13  - inner lagoonal reef of coral spurs and extensive coral patches on lagoonal sand bottom around 12m. Later tide and further in the bay brought more turbid water; some coral damage/rubble
2011-03-28,yuyun10,yuyuni,20,5,high_range_deep,coral,2,"Outer fringing reef off Chole island. Exposed to SE. reef flat, then crest followed by reef platform at around 3- 5m depth with channels. Platform largely bare rock with algae particularly Turbinaria and soft corals.This extends for about 100m from crest, then slopes steeply initially, then gently to rubble –sand bottom at around 20m. Many soft corals in shallow part of reef. Reef slope with a lot of dead coral, but occasional large live bommies and many young recruits. Moderate rugosity."
2011-03-28,yuyun11,yuyuni,19,7,high_range_deep,coral,2,"Just 300m south of Yuyuni 10 so similar reef structure and orientation. Outer fringing reef off Chole island. Exposed to SE. Reef flat then crest drops to reef platform at around 5m depth. This extends for about 100m, then drops steeply, 70 degrees, to about 12m, then drops more gently, 30 degrees, to rubble –sand bottom at around 20m; Very cold water came flooding in from deep just before high tide. "
2011-09-27,fernvlos1,fernauvloso,13,2,high_range_mid-depth,sand,1,"Marginal fringing reef facing west within the port channel. Few scattered corals on sandy slope of around 40 degrees. Reef largely detrital, viz reasonable (around 15m) but little hard substrate. Seagrass and sand between coral bommies."
2011-09-27,fernvlos2,fernauvloso,20,5,high_range_deep,sand,1,"Marginal fringing reef facing west within the port channel. Few scattered corals on sandy slope of around 40 degrees. Reef largely detrital, viz reasonable (around 15m) but little hard substrate. Seagrass and sand between coral bommies."
2011-09-28,mutiva1,mutiva,21,9,deep,coral,1,North facing fringing reef. Steep slope dominated by Plerogyra coral (bubble coral).
2011-09-28,mutiva2,mutiva,21,7,high_range_deep,coral,1,"Huge banks of Galaxea, largely intact, some dead parts colonised by grey sponge."
2011-09-30,nagat1,nagata,20,9,deep,coral,4,"Upper reef platform from 9-17m depth, complex and rugose w high coral cover & div. then drops at around 95 degrees from around 20m depth to 200m."
2011-09-30,nagat2,nagata,18,8,high_range_deep,coral,2,"more exposed facing east, very different habitat to Nagat1. Short slope from reef crest to sand bottom at 13-15m. Some overhangs and large bommies, but patchy corals, much algae,several SC, Millepora and sand. viz terrible at 8m, due to tide."
2011-10-01,napala,napala,18,8,high_range_deep,coral,3,"Well structured reef slope, about 40 degrees, with good diversity of corals and moderate rugosity. Drops to well over 20m with coral growth but did not dive that deep."
2011-10-02,paradise,paradise,16,7,high_range_deep,sand,1,"Patchy reef slope off long sandy beach. Several soft corals, in places small scattered coral heads on sandy silty slope. Some banks of Echinoptera."
2011-10-03,tunnel,tunnel,28,10,deep,coral,2,"Deep reef just off Pemba town, upper plateau at around 17-18m, then drops very steeply. Lots of Halimeda on drop off. Galaxea common on the plateau. Moved up the slope to end of reef before sand of scattered corals in 10-12m."
2011-10-03,punto_maunhane,tunnel,33,5,high_range_deep,coral,2,"Two coral pinnacles (dive site ""Twin peaks"") on the edge of a drop off on a sand platform at around 24 m. Drop off 90 degrees and drops out of sight. Pinnacles rise to around 16-17m and have high coral cover and moderate rugosity."
2011-10-04,pemba3,tunnel,18,8,high_range_deep,coral,1,"Fringing reef inshore from the wall off Wimbi beach. Lovely coral gardens in patches with patches of vase corals (Turbinaria? or Pachyseris?). Low relief reef ends on sandy and rubble slope of 20 degrees at around 18m. Scattered soft corals, algae and seagrass (Cymodocea – with the long stem) in patches. Sea very rough so viz not good"
2011-10-05,imboout,imbobank,25,15,deep,coral,2,NE side of deep reef platform at 25-30m. Stunning coral growth at 25-30 m on the edge of the wall before it drops at 90 degrees or so.
2011-10-05,imboin,imbobank,25,15,deep,coral,2,"NW side of deep reef platform- Plateau at 15-20m with sand, rubble, some corals, edge of plateau at 25m before dropping vertically on wall"
2011-10-06,pemba6,pemban,15,12,mid-depth,coral,2,"N side of outer Pemba bay: Shallow reef slope to about 18m with patchy corals on sand and rubble bottom; beautiful, varied and high coral cover in the shallows –from around 12-6m, with banks of Montipora and Echinopora. These forming spurs in shallows. some wave damage apparent in shallows.
COTs seen and their scars.
"
2011-10-06,pemba7,pemban,16,3,high_range_deep,coral,2,"Inside Pemba Bay, silty inner reef. Very few small scattered corals below 15m. At around 12-6m large bommies, banks of Porites rus with reasonable numbers of fish. Further up in 3-4m a “field” of medium sized Porites bommies "
2011-10-09,va1,vamizinr,13,7,high_range_mid-depth,coral,-1,Back reef or leeward fringing slope on north of Vamizi Island. Inside the Reserve.
2011-10-09,va2,vamizinu,15,5,high_range_mid-depth,coral,2,"leeward fringing slope on north of Vamizi Island, but west of VA1 and outside the Reserve.Reef edge at ~20m dropping to sand at ~30m. very high coral cover at 16-20m."
2011-10-10,va3,vamizinr,17,10,deep,coral,1,"Leeward fringing slope on north of Vamizi Island. Gentle slope from around 10 to 17m, then drops to >25m but Very strong current so did not go deeper than 19m.Low relief, rubble, lots SC and Millepora."
2011-10-10,va4,vamizinu,15,10,mid-depth,coral,2,"Leeward fringing slope on north of Vamizi Island, west of VA2, and outside the Reserve. Reef plateau at around 10-15m, slopes to sandy rubble bottom with scattered corals at 20m."
2011-10-11,va5,vamizine,17,5,high_range_deep,coral,4,"Narrow reef platform off crest of fringing reef near NE point of Vamizi island. Platform at 7-12 m, high relief, but coral cover and diversity not that high. then drops at around 50 degrees to sandy slope at around 20m. Further out this drops to 200m or so. Large bommies, sandy gullies and strong water flow."
2011-10-11,va6,vamizine,15,7,high_range_mid-depth,coral,4,"Narrow reef platform off crest of fringing reef near NE point of Vamizi island. Platform at 7-12 m, moderate relief, but coral cover and diversity not that high. then drops at around 50 degrees to sandy slope at around 20m -30m. Further out this drops to 200m or so."
2011-10-12,va7,neptunes,24,6,high_range_deep,coral,2,"Submerged reef plateau at 6-10m on top with channels; walls drop to several hundred metres. Strong currents at times. Aggregates grey reef sharks and snappers (particularly L. gibbus), and at least 1 resident Epinephelus tukula."
2011-10-12,va8,vamizine,15,10,mid-depth,coral,1,"Further east and slightly south of VA5 and VA6. 90 degree wall with Turbinaria corals, drops to sand and rubble bottom w vase sponges around 25-30m. Top platform 17-10m w scattered bommies, lots sand & silt, low coral cover. Much more sand and silt flow than at VA5 and VA6."
2014-02-28,kiwe1,kiwe,4,2,shallow,algae,1,"large amounts of floating algae. fisher said it was normal with rains, we were not sure about this, enver seen it before"
2014-02-28,kiwe2,kiwe,5,2.5,shallow,seagrass,1,"shallow reef edge, slight silt, borders SG in places; 1 large COT"
2014-02-28,miwona,ns._ponta,4,2,shallow,seagrass,1,"small coral heads - Porites, Acropora, rubble, sand alot of SG and some brown algae - Sargassum & Turbinaria"
2014-03-01,shauli1,metundo_nw,14.5,5,high_range_mid-depth,,2,"gentle reef slope to 15m, high coral cover, large banks of staghorn . Old 2010 site - Metundo7. WP is Nick Hill's, the 1 infront to distinguish it (ie 463 in his datafile)"
2014-03-01,shauli2,metundo_nw,9,5,high_range_mid-depth,,1,"gentle reef slope to 15m, high coral cover but low relief, occasional large massives different spp. banks of staghorn . WP is Nick Hill's, the 1 infront to distinguish it (ie 463 in his datafile)"
2014-03-02,metundone1,metundo_ne,10,5,high_range_mid-depth,coral,2,"extensive flat plateau at 8-10m off Metundo island, same site as Metundo7 in 2010"
2014-03-02,metundone2,metundo_ne,11,8,mid-depth,coral,2,same as Metundo NE1 but further east and more exposed and sloping
2014-03-02,quifuki1,quifuki_s,6,3,shallow,coral,3,"shallow fringing reef, moderate relief, high live coral, some silt, sand patches, rubble and brown algae further inshore. 3 tn only"
2014-03-27,isangsth,saisle_anglaise,20,7,high_range_deep,,NA,"Plateau dominated by Acropora plates some dead, 7-13m, then vertical wall with gorgonians"
2014-03-27,jrknoll,salomon_lagoon,20,3,high_range_deep,,NA,"Pinnacle in lagoon w Porites bommies on top in 2-3 m, 50 deg slope, high variety of coral species, very turbid, bottom at 18-20m w much dead coral"
2014-03-28,saispass1-14,saisdela_passe,23,5,high_range_deep,,NA,"Plateau, 7-15m, dominated by many med sized Porites and Acropora plates some dead, medium relief, 70 deg wall to approx 35m with gorgonians"
2014-03-28,isangmid,saisle_anglaise,15,7,high_range_mid-depth,,NA,"Plateau, 6-13m, lots of dead Acropora plates"
2014-03-29,saispass2-14,saisdela_passe,15,4,high_range_mid-depth,,NA,"Plateau, 4-14m, w many Porites, wall w low relief 80 degree slope to sand and scattered corals at 30-40m "
2014-03-29,ronanknoll,salomon_lagoon,16,4,high_range_deep,,NA,"high coral cover and diversity in top 12-15 m, below that dominated by Lobophyllia and some Porites extending across the floor at 16-20m"
2014-03-30,blenheim1-14,blenheim,15,7,high_range_mid-depth,,NA,"low relief highly exposed reef slope with upper flat at 6-8m, slope of 45 deg to sand bottom at around 35m. coral colonies abundant, mainly Pocillopora, Styllophors, some Porites"
2014-03-30,blenheim2-14,blenheim,13,8,mid-depth,,NA,"low relief highly exposed reef slope with upper flat at 6-8m, slope of 45 deg to sand bottom at around 35m. coral colonies abundant, mainly Pocillopora, Styllophors, some Porites"
2014-04-01,pbispass-06,pbisdela_passe,16,7,high_range_deep,,NA,"100m plateau 3-19m, acrop plates dead/alive, wall dropping steeply with coral growth beyond view "
2014-04-01,pblag1,pbdiamantlagoon,13,3,high_range_mid-depth,,NA,"Fringing reef to sand bottom at 12-13m. High coral cover, dominated by several growth forms of Acropora."
2014-04-02,moresby,pbisdela_passe,16,4,high_range_deep,,NA,"Plateau from 3-10m w extensive dead Acropora plates, Halimeda, wall from 10m to 25-30m with some dead plates in upper portion, fans from 16m"
2014-04-02,pblag2,pbdiamantlagoon,7,3,shallow,,NA,Shallow fringing reef only to 7-10m on sand. Spurs and grooves with exceptionally high coral cover all over
2014-04-03,yeye,pbisdela_passe,22,8,high_range_deep,,NA,"Plateau 3-10m, steep wall but coral ends at around 16m. "
2014-04-04,pbcoinlag1,pbcoinlagoon,15,3,high_range_mid-depth,,NA,fringing reef from crest with slope w very high coralcover
2014-04-04,pbbernardsh,pblags,16,5,high_range_deep,,NA,"large knoll with high plates coralcover on topand on slope, tosand bottom at 16-20m. Was called lagknolls - changed to lagS for chagos paper"
2014-04-05,pbronankn,pblags,17,3,high_range_deep,,NA,"large knoll with high Porites coral cover on top and on slope, to sand  at 16m. seabed at 22-23 m w high coralcover. Was called lagknolls - changed to lagS for chagos paper"
2014-04-05,pbcoinlag2,pbcoinlagoon,16,5,high_range_deep,,NA,fringing reef from crest with slope w very high coralcover
2014-04-06,pbpetitcoquill,pbpetite_coquillage,26,8,high_range_deep,,NA,"Plateau 8-10m w high coral cover, sandy steepwall. LS only"
2014-04-07,midbrowest,three_brothers,17,7,high_range_deep,,NA,"Plateau at 8m, steep wall, a lot of dead coral mainly Acropora plates. Highest live coral on plateau, many small Porites and some medium sized Acropora plates. Steep wall with many dead corals"
2014-04-08,south_bros,three_brothers,16,6,high_range_deep,,NA,"Plateau at 8m, then 95 degree wall of sand rock and small corals with fans, no bottom in site. Plateau rich with coral cover but also brown algae mats in some areas"
2014-04-08,midbrolee,mid_brotherlag,21,8,high_range_deep,,NA,"plateau 8-11m, then gentle slope to 18-20m giving way to sand. slope w high relief and mod CC, lots plates"
2014-04-09,eagles,eagleout,16,10,deep,,NA,"wide plateau mainly dead, v low LCC, wall at 23m"
2014-04-09,eaglen,eagleout,16,12,deep,,NA,"wide plateau 10-14m of rock, sand and dead coral, low relief some live Porites. Then short slope from 14-17m to bottom at 20m of sand with scattered coral heads."
2014-04-10,eaglelee,eagle_lee,22,-1,high_range_deep,,NA,"high cover dead coral, softs, sand, Halimeda and Millepora common, low relief, slope to 19m sand w many scattered corals"
2014-04-11,egmonts,egmontin,17,9,deep,,NA,"very dead reef plateau 9-16m, low relief, rubble, soft corals, then slopes at 45 deg to >25m, also low reief, little LC"
2014-04-11,egmontn,egmontin,16,8,high_range_deep,,NA,"plateau to 9m with many dead plates, some live;  wall edge with most LC. Wall drops to around 25m with caves and fans, coral stops giving way to sandy slope "
2014-04-12,cannonpt,dgoutern,16,9,deep,,NA,"bare rock plateau, live coral in patches, fans on wall"
2014-04-12,courtsknoll,dglagoonn,15,9,mid-depth,,NA,"knoll w large Acropora plates, some Porites bommies, alot dead and heavy silt so viz terrible"
2014-04-13,middleisout,dgoutern,15,8,mid-depth,,NA,"bare rock & sand plateau w some LCC, wall at 11m"
2014-04-13,melitasknoll,dglagoonn,18,8,high_range_deep,,NA,"sandy knoll top,  Acropora plates, coral deeper"
2015-02-01,iweni01,iweni,6,4,shallow,,NA,Strip of Porites boulders on sand and seagrass in channel
2015-03-05,shauli1,metundo_nw,15,10,mid-depth,coral,3,"Wide slope starting at around 10m, with gentle spur and groove formation. Very rich live coral growth and diversity; moderate relief. "
2015-03-05,shauli2,metundo_nw,14,12,mid-depth,coral,1,"Wide slope starting at around 12m depth, with gentle spur and groove formation. Rich live coral growth but low relief. Soft corals common. "
2015-03-06,kiwe1,kiwe,4,1,shallow,seagrass,1,"Narrow fringe of corals in 1-7m depth bordering Kiwe which is a large patch reef that is exposed at low tide. Rubble, sand, some silt and isolated coral heads, some dead some live"
2015-03-06,kiwe2,kiwe,2.4,1,shallow,seagrass,2,"Fringe of live coral, medium to high bommies, on sand in 1-3m. Some large Porites and high LC especially in 1-2.5m. Rubble patches, sand and seagrass bordering the fringe of corals."
2015-03-06,lalane1,lalane,5,2,shallow,seagrass,1,Shallow strip of largely dead reef bordering seagrass. Large areas of rubble. Several small live Acropora 
2015-03-07,vamizine-5,vamizine,15,5,high_range_mid-depth,coral,3,"Reef plateau at 5-7m depth fringing uplifted fossil coral rock edge. Plateau edge about 100m from rocks, slopes at ~ 65o , very high LC to around 22m."
2015-03-07,vamizinr-3,vamizinr,9.5,7,high_range_mid-depth,,1,"Very wide reef slope at 7-9m, slope at ~10o, low relief, high LC, mainly Acropora plates and some staghorn, some rubble and SC patches"
2015-03-10,metundoe,metundoe,14,5,high_range_mid-depth,coral,2,"Plateau at 5-7m depth, then drops to 20-22m. Wall fairly bare with sea whips and some small Tubastrea. At 20m high coral cover of Pachyseris extending across a gentle sloping seabed."
2015-03-10,metundone1,metundone,8,6,high_range_mid-depth,coral,2,"Plateau at 7-9m, some spur and groove structure with some sand channels. Some large Acropora plates and large Porites. Medium relief. High LC. "
2015-03-11,malkiwe,malinde-kiwe,2.5,0.4,shallow,sand,1,"Very shallow (<3m) patch reef, but with high LC dominated by Acropora plates and digitate forms, occasional Porites bommies. Sand very silty, "
2015-03-11,kisangamungo,malinde-kiwe,3.4,1,shallow,sand,1,"Very shallow (1-3m) fringe of coral, edging a very large exposed flat at low tide. Seagrass quite common along the edge. Reef largely Acropora, staghorn and much of it alive. One large bank of Galaxea. Very silty sand bottom."
2015-03-12,rongwe,palma_islands,2,0.5,shallow,sand,1,"Sheltered inner bay on the north west side of Rongwe Island with scattered coral patches on sand in 0.5-1.5m depth. Large areas of sand, some with scattered rubble. Live Acropora, and a lot of dead stag horn Acropora with filamentous black algae. Halimeda algae also commmon."
2015-03-12,tekamajis,palma_islands,3,1,shallow,sand,1,South western end of Takamaji Island. Shallow patches of reef on sand bottom and in places rock substrate. Patches dominated by an extensive bank of Porites cylindrica. Some silt.
2015-03-13,farol1,quiwia,19,7,high_range_deep,coral,2,"SE end of Quiwia peninsula. Fore reef, gentle slope ~35degrees. Medium relief but low lying growth forms of corals, boulder forms, very high LC and coral species diversity; some SC. Some sand and rubble channels in <6m depth. "
2015-03-13,quiwia,quiwia,11,8,mid-depth,coral,2,Semi-sheltered reef patches behind the fore reef though facing SE. Large banks  of staghorn Acropora and other Acropora growth forms. Very high LC.  Medium relief. Ends on sand at ~10m.  
2015-03-14,quirind1,quirindi,15,9,mid-depth,coral,4,"Very high reef relief in places with massive Porites, and P. rus, Acropora, Favids; plus gentle slope of Goniopora with Halimeda, patches of Fungids and sand. Reef ends at 16-19m depth."
